Título,Link,Local,Salário,Salário Anunciado,Fonte,Salario_Inf,Salario_Sup
Médico Ginecologista / Obstetra,https://www.catho.com.br/vagas/medico-ginecologista-obstetra/30652373/,Florianópolis - SC (1),"De R$ 9.001,00 a R$ 10.000,00",True,https://www.catho.com.br/vagas/?page=1,9001.0,10000.0
Coordenador DHO,https://www.catho.com.br/vagas/coordenador-dho/30652030/,Santana de Parnaíba - SP (1),"De R$ 7.001,00 a R$ 8.000,00",True,https://www.catho.com.br/vagas/?page=1,7001.0,8000.0
Engenheiro ou Técnico mecânico para vendas externas(Metalúrgica),https://www.catho.com.br/vagas/engenheiro-ou-tecnico-mecanico-para-vendas-externasmetalurgica/30652039/,Taubate - SP (1),"De R$ 7.001,00 a R$ 8.000,00",True,https://www.catho.com.br/vagas/?page=1,7001.0,8000.0
Primeiro Emprego,https://www.catho.com.br/vagas/primeiro-emprego/30652036/,São Pedro da Aldeia - RJ (5),"De R$ 6.001,00 a R$ 7.000,00",True,https://www.catho.com.br/vagas/?page=1,6001.0,7000.0
Vendedor,https://www.catho.com.br/vagas/vendedor/30652038/,São Pedro da Aldeia - RJ (3),"De R$ 6.001,00 a R$ 7.000,00",True,https://www.catho.com.br/vagas/?page=1,6001.0,7000.0
Vagas de Engenheiro Civil,https://www.catho.com.br/vagas/engenheiro-civil/30652368/,Ribeirão Preto - SP (1),"De R$ 5.001,00 a R$ 6.000,00",True,https://www.catho.com.br/vagas/?page=1,5001.0,6000.0
Chefe de Cozinha,https://www.catho.com.br/vagas/chefe-de-cozinha/30652092/,Rio de Janeiro - RJ (1),"De R$ 5.001,00 a R$ 6.000,00",True,https://www.catho.com.br/vagas/?page=1,5001.0,6000.0
Consultor de Vendas Corporativas,https://www.catho.com.br/vagas/consultor-de-vendas-corporativas/30652543/,Brasilia - DF (3),"De R$ 4.001,00 a R$ 5.000,00",True,https://www.catho.com.br/vagas/?page=1,4001.0,5000.0
Vendedor Interno Presencial,https://www.catho.com.br/vagas/vendedor-interno-presencial-guarulhos-sp/30652217/,Guarulhos - SP (1),"De R$ 4.001,00 a R$ 5.000,00",True,https://www.catho.com.br/vagas/?page=1,4001.0,5000.0
#1094 Analista de qualidade,https://www.catho.com.br/vagas/sharp1094-analista-de-qualidade/30652352/,São Paulo - SP (1),"De R$ 4.001,00 a R$ 5.000,00",True,https://www.catho.com.br/vagas/?page=1,4001.0,5000.0
Gerente de Clínica Médica,https://www.catho.com.br/vagas/gerente-de-clinica-medica/30652354/,Cotia - SP (1),"De R$ 4.001,00 a R$ 5.000,00",True,https://www.catho.com.br/vagas/?page=1,4001.0,5000.0
#1094 Analista de Frete Internacional,https://www.catho.com.br/vagas/sharp1094-analista-de-frete-internacional/30652348/,São Paulo - SP (1),"De R$ 4.001,00 a R$ 5.000,00",True,https://www.catho.com.br/vagas/?page=1,4001.0,5000.0
